,"('Intercept',)","('A1',)","('A2',)","('A4',)","('A5',)","('B1',)","('B3',)","('B5',)","('C1',)","('C2',)","('C3',)","('C5',)","('D1',)","('D2',)","('D3',)","('D5',)","('A21',)","('A22',)","('A24',)","('A25',)","('B21',)","('B22',)","('B23',)","('B25',)","('C21',)","('C22',)","('C23',)","('C25',)","('D21',)","('D22',)","('D23',)","('D25',)","('A31',)","('A32',)","('A34',)","('A35',)","('B31',)","('B32',)","('B33',)","('B35',)","('C31',)","('C32',)","('C33',)","('C35',)","('D31',)","('D32',)","('D33',)","('D35',)",Target
"('Intercept',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('A1',)",,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9790238821396396,-0.41770248886550254,-0.1776710862311522,0.929085009585557,-0.2376415489289867,-0.41770248886550254,-0.1411787312571802,0.8835630171975207,-0.21969996457056246,-0.41770248886550254,-0.12590566066047884,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.955059093840458,-0.24677444164937593,-0.41770248886550254,-0.15610198046168614,0.8835630171975207,-0.21969996457056246,-0.41770248886550254,-0.12590566066047884,0.8419384721001728,-0.20218957224670467,-0.41770248886550254,-0.11600055661563369,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9465616437442055,-0.24397859401083186,-0.41770248886550254,-0.15032308185767218,0.8968975862398462,-0.22508593817315098,-0.41770248886550254,-0.1296395684887972,0.8531249161831639,-0.20702875567030327,-0.41770248886550254,-0.11850580997127508,0.14980243312301003
"('A2',)",,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2367651835072042,0.09628293412796389,0.3867924944516177,-0.22675609629086832,0.9403559685549666,0.10300185860968024,0.2852756301358658,-0.20950854818779135,0.9092182650687108,0.10744548557991229,0.2253090808851344,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2341642199706351,0.9573930929888335,0.09981175786787469,0.3292334139197864,-0.20950854818779135,0.9092182650687108,0.10744548557991229,0.2253090808851344,-0.19133892178415518,0.880083700932632,0.11111688694286428,0.17550168143869607,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.23217382197726122,0.9520411001575095,0.10093880358030617,0.31326366240547765,-0.21483222841217683,0.9184131009056838,0.10621588199012333,0.24199224948821796,-0.1964670485728867,0.8879956109259384,0.11014529324216717,0.18866206765851945,-0.10198776768697047
"('A4',)",,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4468545154894814,-0.1984383253425702,0.4397964524854172,-0.4276418079087816,0.35143740348542357,-0.2005031272728976,0.34618290518805106,-0.40586648693696437,0.3464750175363583,-0.20143474630627706,0.28652150909853197,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4390416148053319,0.3565645252450113,-0.19969280780345225,0.388486519273462,-0.40586648693696437,0.3464750175363583,-0.20143474630627706,0.28652150909853197,-0.3848502456874248,0.34350937482739347,-0.20211507373489399,0.2356875710894042,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4355049852668833,0.35465608621991757,-0.20000127784388963,0.37327999473737816,-0.41236371720198456,0.34765205151997775,-0.2011914133978918,0.30331534802689614,-0.3906279810536007,0.3442427271997483,-0.2019407726397667,0.24921944798619589,-0.11474555081787334
"('A5',)",,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16969964695314446,-0.4752996892737903,0.8788766896392308,-0.15180909541275434,0.44135358715215606,-0.47102732272086756,0.7060450383821574,-0.12783610018338598,0.4148573004866157,-0.46810804666425043,0.5812270719887146,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16331996666816648,0.45658068269054247,-0.4730973092099891,0.7875134465969261,-0.12783610018338598,0.4148573004866157,-0.46810804666425043,0.5812270719887146,-0.1038100383000179,0.39049688211005745,-0.4656796912940325,0.464918147005005,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.15995442713115932,0.45166921358148643,-0.47237029235917083,0.7589296288853136,-0.13509566439002943,0.42261227132462437,-0.4689184657070762,0.6176232129374956,-0.11048955163165788,0.39708864861509824,-0.46632371014625423,0.4966394116661899,-0.10372653774214541
"('B1',)",,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,1.0,-0.4171000123119443,-0.10814397750320506,0.9824520756397679,-0.21967433403383396,-0.4171000123119443,-0.032498487469613646,0.952590254504388,-0.19586082493976573,-0.4171000123119443,-0.0016983752184052076,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,0.9947691954267391,-0.23325112879662344,-0.4171000123119443,-0.062405731441022634,0.952590254504388,-0.19586082493976573,-0.4171000123119443,-0.0016983752184052076,0.9197104066538156,-0.17465139044468606,-0.4171000123119443,0.017493971602286933,0.9790238821396396,-0.2367651835072042,-0.4468545154894814,-0.16969964695314446,0.9912891936085905,-0.22893875646169312,-0.4171000123119443,-0.050817106646408004,0.9621278792503583,-0.20274541536879942,-0.4171000123119443,-0.009235489301337224,0.92895390360008,-0.1803486435209595,-0.4171000123119443,0.012823655330499575,0.280469624366371
"('B3',)",,-0.41770248886550254,0.09628293412796389,-0.1984383253425702,-0.4752996892737903,-0.4171000123119443,1.0,-0.45635245879834097,-0.4171000086313784,0.09195555887260827,0.9995539399920818,-0.4216346731009033,-0.4171000086313784,0.08467250761876043,0.999001044334017,-0.3822416009832466,-0.41770248886550254,0.09628293412796389,-0.1984383253425702,-0.4752996892737903,-0.4171000086313784,0.09420374079660822,0.9998478840137299,-0.4411624583281833,-0.4171000086313784,0.08467250761876043,0.999001044334017,-0.3822416009832466,-0.4171000086313784,0.07660699635563178,0.9984549398236071,-0.3384640292179123,-0.41770248886550254,0.09628293412796389,-0.1984383253425702,-0.4752996892737903,-0.4171000086313784,0.0937786366912726,0.9997563774635354,-0.4348810282132683,-0.4171000086313784,0.08701461425045186,0.9991674504578711,-0.39479501920304855,-0.4171000086313784,0.07887575593682666,0.9986059693980197,-0.35080528343039685,0.06489672557558021
"('B5',)",,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.10814397750320506,-0.45635245879834097,1.0,-0.026593124719848153,0.4775046068947416,-0.4506730690127768,0.952597979620314,0.029163295510661734,0.4783580462602327,-0.4472283719995183,0.8839086839428757,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.0649933899296466,0.4723890733623324,-0.453302950426076,0.984302370863285,0.029163295510661734,0.4783580462602327,-0.4472283719995183,0.8839086839428757,0.07080416610251161,0.47220904174254985,-0.44455943777733054,0.8052773286262626,-0.1776710862311522,0.3867924944516177,0.4397964524854172,0.8788766896392308,-0.051749739573858144,0.4744674648635806,-0.4523592735020454,0.9746763502327558,0.014096408177287939,0.4790251485050323,-0.4481570286664186,0.9059267522882782,0.06033808473581366,0.4744334434512648,-0.4452515292502876,0.8278078704622319,0.26195859622778334
"('C1',)",,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9824520756397679,-0.4171000086313784,-0.026593124719848153,1.0,-0.17727887627715497,-0.4171000086313784,0.07532313868261815,0.9916142958016376,-0.14848650252893403,-0.4171000086313784,0.11582724534826946,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9961412839814752,-0.194433404225722,-0.4171000086313784,0.035520103862135395,0.9916142958016376,-0.14848650252893403,-0.4171000086313784,0.11582724534826946,0.9733103709548839,-0.1240507074002581,-0.4171000086313784,0.14019176520945706,0.929085009585557,-0.22675609629086832,-0.4276418079087816,-0.15180909541275434,0.9983436499211658,-0.18892457022843162,-0.4171000086313784,0.05098447365559071,0.9955800036868229,-0.15666058163266863,-0.4171000086313784,0.10599515151444146,0.9790000962580632,-0.1305037788459167,-0.4171000086313784,0.1343936874595188,0.36779882060887736
"('C2',)",,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.21967433403383396,0.09195555887260827,0.4775046068947416,-0.17727887627715497,1.0,0.10010440320808983,0.43527710121705815,-0.14208280918753466,0.9948021808141135,0.10484915812179828,0.40473359634661893,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.19914859335276602,0.9975747099558208,0.09647045949361785,0.4553421484046362,-0.14208280918753466,0.9948021808141135,0.10484915812179828,0.40473359634661893,-0.11377470111759974,0.983173247896292,0.10857940845134834,0.375999288703402,-0.2376415489289867,0.9403559685549666,0.35143740348542357,0.44135358715215606,-0.19195036003137902,0.9989429306932114,0.09778539560820075,0.4483398255883369,-0.15186861233541188,0.9972637116408264,0.10356398162617741,0.41357775419057863,-0.12108634601740517,0.9868447666593911,0.10760659831889051,0.3839959793535893,0.10482490533565365
"('C3',)",,-0.41770248886550254,0.10300185860968024,-0.2005031272728976,-0.47102732272086756,-0.4171000123119443,0.9995539399920818,-0.4506730690127768,-0.4171000086313784,0.10010440320808983,1.0,-0.4147980001689581,-0.4171000086313784,0.09293742493459965,0.9998788653693725,-0.37459912604944917,-0.41770248886550254,0.10300185860968024,-0.2005031272728976,-0.47102732272086756,-0.4171000086313784,0.10222750556174769,0.9999182493161275,-0.4348683322617323,-0.4171000086313784,0.09293742493459965,0.9998788653693725,-0.37459912604944917,-0.4171000086313784,0.08482009364237357,0.9996336297308941,-0.3301682216168132,-0.41770248886550254,0.10300185860968024,-0.2005031272728976,-0.47102732272086756,-0.4171000086313784,0.10184672612378079,0.9999672342019819,-0.42839585254530455,-0.4171000086313784,0.09526271032841703,0.9999341765637386,-0.3873816900937263,-0.4171000086313784,0.08711866079494053,0.9997091811664474,-0.3426716662320399,0.06931690583271288
"('C5',)",,-0.1411787312571802,0.2852756301358658,0.34618290518805106,0.7060450383821574,-0.032498487469613646,-0.4216346731009033,0.952597979620314,0.07532313868261815,0.43527710121705815,-0.4147980001689581,1.0,0.1420162144776672,0.45226881313362527,-0.41094983514692274,0.9831669127231547,-0.1411787312571802,0.2852756301358658,0.34618290518805106,0.7060450383821574,0.026365975282323602,0.4191511655386544,-0.41785035978095664,0.9910236941754916,0.1420162144776672,0.45226881313362527,-0.41094983514692274,0.9831669127231547,0.1882051093802784,0.4578594193933157,-0.40806868493352466,0.9433695189640481,-0.1411787312571802,0.2852756301358658,0.34618290518805106,0.7060450383821574,0.043624093916284586,0.424935083888502,-0.4167400925516046,0.9963532171456532,0.12445211767657814,0.4485944155281799,-0.41197288905068596,0.99125330161945,0.17697807604873664,0.45717791864936425,-0.4088073739036308,0.9561053822262602,0.46586106089215384
"('D1',)",,0.8835630171975207,-0.20950854818779135,-0.40586648693696437,-0.12783610018338598,0.952590254504388,-0.4171000086313784,0.029163295510661734,0.9916142958016376,-0.14208280918753466,-0.4171000086313784,0.1420162144776672,1.0,-0.11068226134077862,-0.4171000086313784,0.18615987535562487,0.8835630171975207,-0.20950854818779135,-0.40586648693696437,-0.12783610018338598,0.9772378561071938,-0.1610770710195366,-0.4171000086313784,0.09814901749952806,1.0,-0.11068226134077862,-0.4171000086313784,0.18615987535562487,0.9943922585902045,-0.08449915508339069,-0.4171000086313784,0.2120098770651959,0.8835630171975207,-0.20950854818779135,-0.40586648693696437,-0.12783610018338598,0.9829736777800607,-0.15495593986490602,-0.4171000086313784,0.11522326704531853,0.9993346320036965,-0.11953856254629053,-0.4171000086313784,0.17552558488114706,0.9969101911613532,-0.09136725652145246,-0.4171000086313784,0.20595097028175038,0.40210509496119906
"('D2',)",,-0.21969996457056246,0.9092182650687108,0.3464750175363583,0.4148573004866157,-0.19586082493976573,0.08467250761876043,0.4783580462602327,-0.14848650252893403,0.9948021808141135,0.09293742493459965,0.45226881313362527,-0.11068226134077862,1.0,0.09761340213257197,0.4301757654704109,-0.21969996457056246,0.9092182650687108,0.3464750175363583,0.4148573004866157,-0.17257021795280006,0.9859488592481449,0.08929467836294504,0.4657302206686272,-0.11068226134077862,1.0,0.09761340213257197,0.4301757654704109,-0.081161687835442,0.9964673311792299,0.10123212224787635,0.4080297151536158,-0.21969996457056246,0.9092182650687108,0.3464750175363583,0.4148573004866157,-0.16456511168233814,0.9893900660692022,0.09062020514394725,0.4611909339051935,-0.12108910701306833,0.9995920613759798,0.0963546398609608,0.43671146458033033,-0.08869921078336108,0.9980735750529662,0.10029369414409449,0.41434508860985636,0.14847161215661575
"('D3',)",,-0.41770248886550254,0.10744548557991229,-0.20143474630627706,-0.46810804666425043,-0.4171000123119443,0.999001044334017,-0.4472283719995183,-0.4171000086313784,0.10484915812179828,0.9998788653693725,-0.41094983514692274,-0.4171000086313784,0.09761340213257197,1.0,-0.37051058739272685,-0.41770248886550254,0.10744548557991229,-0.20143474630627706,-0.46810804666425043,-0.4171000086313784,0.1069755657420861,0.9996072632917614,-0.4312003975690982,-0.4171000086313784,0.09761340213257197,1.0,-0.37051058739272685,-0.4171000086313784,0.08935297631325007,0.9999312860531502,-0.3259076643799697,-0.41770248886550254,0.10744548557991229,-0.20143474630627706,-0.46810804666425043,-0.4171000086313784,0.10659540998158079,0.9997249552028667,-0.42466275657705194,-0.4171000086313784,0.09996770718719185,0.9999913920845429,-0.3833584261854031,-0.4171000086313784,0.09169815933362724,0.9999620499983347,-0.33845182308202487,0.07077947645605583
"('D5',)",,-0.12590566066047884,0.2253090808851344,0.28652150909853197,0.5812270719887146,-0.0016983752184052076,-0.3822416009832466,0.8839086839428757,0.11582724534826946,0.40473359634661893,-0.37459912604944917,0.9831669127231547,0.18615987535562487,0.4301757654704109,-0.37051058739272685,1.0,-0.12590566066047884,0.2253090808851344,0.28652150909853197,0.5812270719887146,0.06301894282181732,0.3830260214956123,-0.37792487809840214,0.9505362669959412,0.18615987535562487,0.4301757654704109,-0.37051058739272685,1.0,0.2333477188393136,0.442242936276018,-0.36750975005478115,0.9877705656020428,-0.12590566066047884,0.2253090808851344,0.28652150909853197,0.5812270719887146,0.08176078650241062,0.39067855010534386,-0.3767035412723128,0.9642950352229013,0.16782524742744337,0.4241874950841828,-0.3715885896960032,0.9986612609324085,0.2220583508016089,0.43992252579420243,-0.3682740533823028,0.9933829016542192,0.5662230618984815
"('A21',)",,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9790238821396396,-0.41770248886550254,-0.1776710862311522,0.929085009585557,-0.2376415489289867,-0.41770248886550254,-0.1411787312571802,0.8835630171975207,-0.21969996457056246,-0.41770248886550254,-0.12590566066047884,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.955059093840458,-0.24677444164937593,-0.41770248886550254,-0.15610198046168614,0.8835630171975207,-0.21969996457056246,-0.41770248886550254,-0.12590566066047884,0.8419384721001728,-0.20218957224670467,-0.41770248886550254,-0.11600055661563369,1.0,-0.21744011490860693,-0.4420285252791645,-0.1571181292408162,0.9465616437442055,-0.24397859401083186,-0.41770248886550254,-0.15032308185767218,0.8968975862398462,-0.22508593817315098,-0.41770248886550254,-0.1296395684887972,0.8531249161831639,-0.20702875567030327,-0.41770248886550254,-0.11850580997127508,0.14980243312301003
"('A22',)",,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2367651835072042,0.09628293412796389,0.3867924944516177,-0.22675609629086832,0.9403559685549666,0.10300185860968024,0.2852756301358658,-0.20950854818779135,0.9092182650687108,0.10744548557991229,0.2253090808851344,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.2341642199706351,0.9573930929888335,0.09981175786787469,0.3292334139197864,-0.20950854818779135,0.9092182650687108,0.10744548557991229,0.2253090808851344,-0.19133892178415518,0.880083700932632,0.11111688694286428,0.17550168143869607,-0.21744011490860693,1.0,0.35212198276141643,0.4818903671486451,-0.23217382197726122,0.9520411001575095,0.10093880358030617,0.31326366240547765,-0.21483222841217683,0.9184131009056838,0.10621588199012333,0.24199224948821796,-0.1964670485728867,0.8879956109259384,0.11014529324216717,0.18866206765851945,-0.10198776768697047
"('A24',)",,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4468545154894814,-0.1984383253425702,0.4397964524854172,-0.4276418079087816,0.35143740348542357,-0.2005031272728976,0.34618290518805106,-0.40586648693696437,0.3464750175363583,-0.20143474630627706,0.28652150909853197,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4390416148053319,0.3565645252450113,-0.19969280780345225,0.388486519273462,-0.40586648693696437,0.3464750175363583,-0.20143474630627706,0.28652150909853197,-0.3848502456874248,0.34350937482739347,-0.20211507373489399,0.2356875710894042,-0.4420285252791645,0.35212198276141643,1.0,0.48973175040686734,-0.4355049852668833,0.35465608621991757,-0.20000127784388963,0.37327999473737816,-0.41236371720198456,0.34765205151997775,-0.2011914133978918,0.30331534802689614,-0.3906279810536007,0.3442427271997483,-0.2019407726397667,0.24921944798619589,-0.11474555081787334
"('A25',)",,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16969964695314446,-0.4752996892737903,0.8788766896392308,-0.15180909541275434,0.44135358715215606,-0.47102732272086756,0.7060450383821574,-0.12783610018338598,0.4148573004866157,-0.46810804666425043,0.5812270719887146,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.16331996666816648,0.45658068269054247,-0.4730973092099891,0.7875134465969261,-0.12783610018338598,0.4148573004866157,-0.46810804666425043,0.5812270719887146,-0.1038100383000179,0.39049688211005745,-0.4656796912940325,0.464918147005005,-0.1571181292408162,0.4818903671486451,0.48973175040686734,1.0,-0.15995442713115932,0.45166921358148643,-0.47237029235917083,0.7589296288853136,-0.13509566439002943,0.42261227132462437,-0.4689184657070762,0.6176232129374956,-0.11048955163165788,0.39708864861509824,-0.46632371014625423,0.4966394116661899,-0.10372653774214541
"('B21',)",,0.955059093840458,-0.2341642199706351,-0.4390416148053319,-0.16331996666816648,0.9947691954267391,-0.4171000086313784,-0.0649933899296466,0.9961412839814752,-0.19914859335276602,-0.4171000086313784,0.026365975282323602,0.9772378561071938,-0.17257021795280006,-0.4171000086313784,0.06301894282181732,0.955059093840458,-0.2341642199706351,-0.4390416148053319,-0.16331996666816648,1.0,-0.21474267258964633,-0.4171000086313784,-0.00946324113304788,0.9772378561071938,-0.17257021795280006,-0.4171000086313784,0.06301894282181732,0.951582723438136,-0.14958108182550314,-0.4171000086313784,0.08542007622901167,0.955059093840458,-0.2341642199706351,-0.4390416148053319,-0.16331996666816648,0.9995274371230496,-0.20975381475762653,-0.4171000086313784,0.0044436660654943415,0.983964652313061,-0.18016704853162924,-0.4171000086313784,0.054087115447497655,0.9590816687303437,-0.15569512597581098,-0.4171000086313784,0.08003684682618803,0.33223571259393264
"('B22',)",,-0.24677444164937593,0.9573930929888335,0.3565645252450113,0.45658068269054247,-0.23325112879662344,0.09420374079660822,0.4723890733623324,-0.194433404225722,0.9975747099558208,0.10222750556174769,0.4191511655386544,-0.1610770710195366,0.9859488592481449,0.1069755657420861,0.3830260214956123,-0.24677444164937593,0.9573930929888335,0.3565645252450113,0.45658068269054247,-0.21474267258964633,1.0,0.09862377608937394,0.4436999103301649,-0.1610770710195366,0.9859488592481449,0.1069755657420861,0.3830260214956123,-0.13362928877842345,0.9697499524434968,0.11073885507435632,0.35005375779353626,-0.24677444164937593,0.9573930929888335,0.3565645252450113,0.45658068269054247,-0.20811238658865364,0.9997027618596767,0.09992425432892683,0.4350062152113018,-0.17042565510591368,0.9900924043434213,0.10568511305265736,0.39338632216839586,-0.14078054109934238,0.974568611938175,0.10975493279951384,0.3591132933909535,0.07183891572856502
"('B23',)",,-0.41770248886550254,0.09981175786787469,-0.19969280780345225,-0.4730973092099891,-0.4171000123119443,0.9998478840137299,-0.453302950426076,-0.4171000086313784,0.09647045949361785,0.9999182493161275,-0.41785035978095664,-0.4171000086313784,0.08929467836294504,0.9996072632917614,-0.37792487809840214,-0.41770248886550254,0.09981175786787469,-0.19969280780345225,-0.4730973092099891,-0.4171000086313784,0.09862377608937394,1.0,-0.4377266557670719,-0.4171000086313784,0.08929467836294504,0.9996072632917614,-0.37792487809840214,-0.4171000086313784,0.08123578824702797,0.9992275575566517,-0.3337077677377978,-0.41770248886550254,0.09981175786787469,-0.19969280780345225,-0.4730973092099891,-0.4171000086313784,0.09823222230595653,0.9999885828432137,-0.4313233234649478,-0.4171000086313784,0.09161448437046162,0.999711668688906,-0.3906310887707178,-0.4171000086313784,0.08351247754111549,0.9993370630719228,-0.3461586315586835,0.06766378731206199
"('B25',)",,-0.15610198046168614,0.3292334139197864,0.388486519273462,0.7875134465969261,-0.062405731441022634,-0.4411624583281833,0.984302370863285,0.035520103862135395,0.4553421484046362,-0.4348683322617323,0.9910236941754916,0.09814901749952806,0.4657302206686272,-0.4312003975690982,0.9505362669959412,-0.15610198046168614,0.3292334139197864,0.388486519273462,0.7875134465969261,-0.00946324113304788,0.4436999103301649,-0.4377266557670719,1.0,0.09814901749952806,0.4657302206686272,-0.4312003975690982,0.9505362669959412,0.14272719573139406,0.4663814423264142,-0.42841319707636605,0.8925283133931167,-0.15610198046168614,0.3292334139197864,0.388486519273462,0.7875134465969261,0.006278266046597114,0.44797825353743986,-0.4366934520895282,0.9988024606218209,0.08150580196874878,0.4638456471056097,-0.43218172083770134,0.9650554443893105,0.13175104059603068,0.46693783315856063,-0.4291311346126892,0.9098965191231498,0.382260881817689
